input_data,num_vertices,avg_cycle_weight,min_cycle_weight,init_temperature,alpha,min_temperature,max_iter
data\pbl395.tsp,395,1305,1299,100,0.99,0.1,0.3
data\pbk411.tsp,411,1373,1356,100,0.99,0.1,0.3
data\pbn423.tsp,423,1399,1371,100,0.99,0.1,0.3
data\pbm436.tsp,436,1478,1469,100,0.99,0.1,0.3
data\xql662.tsp,662,2585,2552,100,0.99,0.1,0.3
data\xqf131.tsp,131,600,577,50,0.99,1,0.2
data\xqg237.tsp,237,1078,1065,50,0.99,1,0.2
data\pma343.tsp,343,1454,1429,50,0.99,1,0.2
data\pka379.tsp,379,1457,1444,50,0.99,1,0.2
data\bcl380.tsp,380,1716,1705,50,0.99,1,0.2
data\pbl395.tsp,395,1439,1415,50,0.99,1,0.2
data\pbk411.tsp,411,1493,1473,50,0.99,1,0.2
data\pbn423.tsp,423,1521,1469,50,0.99,1,0.2
data\pbm436.tsp,436,1598,1571,50,0.99,1,0.2
data\xql662.tsp,662,2727,2688,50,0.99,1,0.2
data\xqf131.tsp,131,578,572,50,0.99,0.1,0.1
data\xqg237.tsp,237,1049,1040,50,0.99,0.1,0.1
data\pma343.tsp,343,1391,1379,50,0.99,0.1,0.1
data\pka379.tsp,379,1355,1344,50,0.99,0.1,0.1
data\bcl380.tsp,380,1689,1660,50,0.99,0.1,0.1
data\pbl395.tsp,395,1338,1314,50,0.99,0.1,0.1
data\pbk411.tsp,411,1401,1375,50,0.99,0.1,0.1
data\pbn423.tsp,423,1433,1413,50,0.99,0.1,0.1
data\pbm436.tsp,436,1502,1486,50,0.99,0.1,0.1
data\xql662.tsp,662,2618,2550,50,0.99,0.1,0.1
data\xqf131.tsp,131,592,576,50,0.9,0.1,0.3
data\xqg237.tsp,237,1082,1053,50,0.9,0.1,0.3
data\pma343.tsp,343,1427,1416,50,0.9,0.1,0.3
data\pka379.tsp,379,1397,1382,50,0.9,0.1,0.3
data\bcl380.tsp,380,1735,1698,50,0.9,0.1,0.3
data\pbl395.tsp,395,1377,1357,50,0.9,0.1,0.3
data\pbk411.tsp,411,1455,1435,50,0.9,0.1,0.3
data\pbn423.tsp,423,1482,1453,50,0.9,0.1,0.3
data\pbm436.tsp,436,1558,1527,50,0.9,0.1,0.3
data\xql662.tsp,662,2711,2672,50,0.9,0.1,0.3
data\xqf131.tsp,131,666,628,100,0.95,1,0.2
data\xqg237.tsp,237,1186,1160,100,0.95,1,0.2
data\pma343.tsp,343,1610,1553,100,0.95,1,0.2
data\pka379.tsp,379,1687,1650,100,0.95,1,0.2
data\bcl380.tsp,380,1894,1837,100,0.95,1,0.2
data\pbl395.tsp,395,1708,1636,100,0.95,1,0.2
data\pbk411.tsp,411,1744,1655,100,0.95,1,0.2
data\pbn423.tsp,423,1794,1752,100,0.95,1,0.2
data\pbm436.tsp,436,1914,1844,100,0.95,1,0.2
data\xql662.tsp,662,3107,3010,100,0.95,1,0.2
data\xqf131.tsp,131,576,569,10,0.99,0.1,0.3
data\xqg237.tsp,237,1042,1034,10,0.99,0.1,0.3
data\pma343.tsp,343,1381,1375,10,0.99,0.1,0.3
data\pka379.tsp,379,1343,1336,10,0.99,0.1,0.3
data\bcl380.tsp,380,1672,1662,10,0.99,0.1,0.3
data\pbl395.tsp,395,1312,1303,10,0.99,0.1,0.3
data\pbk411.tsp,411,1377,1361,10,0.99,0.1,0.3
data\pbn423.tsp,423,1395,1368,10,0.99,0.1,0.3
data\pbm436.tsp,436,1473,1458,10,0.99,0.1,0.3
data\xql662.tsp,662,2582,2548,10,0.99,0.1,0.3
data\xqf131.tsp,131,589,579,10,0.95,0.1,0.2
data\xqg237.tsp,237,1074,1060,10,0.95,0.1,0.2
data\pma343.tsp,343,1425,1393,10,0.95,0.1,0.2
data\pka379.tsp,379,1379,1360,10,0.95,0.1,0.2
data\bcl380.tsp,380,1733,1706,10,0.95,0.1,0.2
data\pbl395.tsp,395,1369,1339,10,0.95,0.1,0.2
data\pbk411.tsp,411,1432,1410,10,0.95,0.1,0.2
data\pbn423.tsp,423,1464,1435,10,0.95,0.1,0.2
data\pbm436.tsp,436,1546,1509,10,0.95,0.1,0.2
data\xql662.tsp,662,2693,2660,10,0.95,0.1,0.2
